,barcode,catno,community,country,format,genre,id,label,resource_url,style,thumb,title,type,uri,year
0,[],ADS 409,"{'have': 28, 'want': 111}",Belgium,"['Vinyl', 'LP', 'Album']",['Jazz'],1521860,['A.D.S. Records'],https://api.discogs.com/releases/1521860,"['Soul-Jazz', 'Jazz-Funk']",https://api-img.discogs.com/H2umKtiiLmbiFVx1gz1pKtoXt54=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1521860-1225816975.png.jpg,Hein Huysmans - Kwintet - Septet,release,/Hein-Huysmans-Kwintet-Septet/release/1521860,1970
1,[],CMP 26 ST,"{'have': 0, 'want': 0}",Germany,"['Vinyl', 'LP', 'Stereo']",['Jazz'],663225,['CMP Records'],https://api.discogs.com/masters/663225,['Contemporary Jazz'],https://api-img.discogs.com/WAo0sn5gKuq86PhIwD7SeQDondE=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5278038-1389409666-6105.jpeg.jpg,Joachim Kühn - Distance,master,/Joachim-K%C3%BChn-Distance/master/663225,1984
2,[],52070,"{'have': 2, 'want': 1}",US,"['Vinyl', 'LP']",['Jazz'],681621,['Time Records'],https://api.discogs.com/masters/681621,[],https://api-img.discogs.com/u0u7hEn5F73hXGrgWa7nxkqtU0E=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3551830-1334974598.jpeg.jpg,"Mel Davis Sextet - ""Shoot"" The Trumpet Player",master,/Mel-Davis-Sextet-Shoot-The-Trumpet-Player/master/681621,1963
3,[],LR 103,"{'have': 29, 'want': 34}",UK,"['Vinyl', 'LP', 'Album']",['Jazz'],1572349,"['Leo Records', 'Leo Records Ltd.', 'Leo Records Ltd.', 'Big Apple Studio', 'Big Apple Studio']",https://api.discogs.com/releases/1572349,['Contemporary Jazz'],https://api-img.discogs.com/lJH16QS4iMTsnGjBckOuStPZ2E4=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1572349-1413383457-7757.jpeg.jpg,Amina Claudine Myers - Salutes Bessie Smith,release,/Amina-Claudine-Myers-Salutes-Bessie-Smith/release/1572349,1980
4,[' 4 605026 708525'],4605026708525,"{'have': 3, 'want': 1}",Russia,"['CD', 'Compilation']",['Jazz'],717414,"['Decca', 'Alchemy Mastering', 'the-unknown.co.uk', 'Decca Records', 'ООО «Юниверсал Мьюзик»', 'ООО «Юниверсал Мьюзик»']",https://api.discogs.com/masters/717414,"['Smooth Jazz', 'Cool Jazz']",https://api-img.discogs.com/tZ7eg87U0SUXsGb2ko8LBR2rA8g=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5952902-1407240212-2199.jpeg.jpg,Chris Botti - This Is Chris Botti,master,/Chris-Botti-This-Is-Chris-Botti/master/717414,2011
5,[],AMLH 64746,"{'have': 6, 'want': 2}",UK,"['Vinyl', 'LP', 'Album']",['Jazz'],1620910,['A&M Records'],https://api.discogs.com/releases/1620910,"['Jazz-Rock', 'Latin Jazz']",https://api-img.discogs.com/eKirZJh_LLmCQQyix1uZqhDvc2Q=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1620910-1232695045.jpeg.jpg,Gato Barbieri - Euphoria,release,/Gato-Barbieri-Euphoria/release/1620910,1979
6,[],1634,"{'have': 0, 'want': 1}",US,"['Cylinder', '4 Minute']",['Jazz'],1589736,['Edison Blue Amberol Record'],https://api.discogs.com/releases/1589736,['Ragtime'],https://api-img.discogs.com/oc65fKJBvlWPqvlmI8SMnzrMA_0=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1589736-1230590562.jpeg.jpg,"Ada Jones & Billy Murray - Kiss Me, My Honey, Kiss Me",release,/Ada-Jones-Billy-Murray-Kiss-Me-My-Honey-Kiss-Me/release/1589736,1913
7,[],SLPX 17504,"{'have': 67, 'want': 66}",Hungary,"['Vinyl', 'LP', 'Album']",['Jazz'],703437,['Pepita'],https://api.discogs.com/masters/703437,['Jazz-Rock'],https://api-img.discogs.com/gp9bnNZ8xICJmPeXUsH-JX2mtuY=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1344168-1292620703.jpeg.jpg,Csaba Deseő Jazz Quintet & Friends* - Ultraviola,master,/Csaba-Dese%C5%91-Jazz-Quintet-Friends-Ultraviola/master/703437,1977
8,[],T 696,"{'have': 14, 'want': 6}",UK,"['Vinyl', 'LP', 'Album']",['Jazz'],703761,['World Record Club'],https://api.discogs.com/masters/703761,"['Bossa Nova', 'Latin Jazz']",https://api-img.discogs.com/A7sXCPL4ZkJyWfHFxCb4zhIPIzk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1441288-1334431053.jpeg.jpg,Coleman Hawkins Sextet - Desafinado,master,/Coleman-Hawkins-Sextet-Desafinado/master/703761,
9,[],MRL 344,"{'have': 54, 'want': 44}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],704067,['Mainstream Records'],https://api.discogs.com/masters/704067,"['Post Bop', 'Fusion']",https://api-img.discogs.com/KuUXRQqk8PIK-P5NbWP3lvsx4c8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2445690-1284474074.jpeg.jpg,Harold Land - Choma (Burn),master,/Harold-Land-Choma-Burn/master/704067,1971
10,"['2301 104 S 1 320', '2301 104 S 2 320', '2301 104 S 1 320 K 1', '2301 104 S 2 320 H 1', 'LC 2516', 'GEMA']",ECM 1104,"{'have': 52, 'want': 14}",Germany,"['Vinyl', 'LP', 'Album']",['Jazz'],1604440,"['ECM Records', 'ECM Records', 'ECM Records', 'ECM Records GmbH', 'Tonstudio Bauer']",https://api.discogs.com/releases/1604440,['Contemporary Jazz'],https://api-img.discogs.com/RyKHoLhcyrHFNYv-e98L8nbJBeI=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1604440-1357020256-6508.jpeg.jpg,Richard Beirach - Hubris,release,/Richard-Beirach-Hubris/release/1604440,1978
11,[],8003,"{'have': 25, 'want': 32}",US,"['Vinyl', 'LP', 'Album']",['Jazz'],1604642,"['Arhoolie Records', 'Sierra Sound Laboratories']",https://api.discogs.com/releases/1604642,['Free Jazz'],https://api-img.discogs.com/TDcbEWlKHiRsHskDHavBB8qWJtw=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1604642-1231621040.jpeg.jpg,Sonny Simmons - Manhattan Egos,release,/Sonny-Simmons-Manhattan-Egos/release/1604642,1969
12,['616892176046'],NBH903,"{'have': 20, 'want': 12}",US,"['CD', 'Album']",['Jazz'],708292,"['New Braxton House', 'Firehouse 12']",https://api.discogs.com/masters/708292,"['Free Improvisation', 'Contemporary Jazz', 'Free Jazz']",https://api-img.discogs.com/RNL8tZjTYk2vfA0HFy54KM9HRi0=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5783430-1405198222-5834.jpeg.jpg,Anthony Braxton - Tomas Fujiwara - Tom Rainey - Trio (New Haven) 2013,master,/Anthony-Braxton-Tomas-Fujiwara-Tom-Rainey-Trio-New-Haven-2013/master/708292,2014
13,"['ARL-3481-4B', 'ARL-3482-2E']",LL-1677,"{'have': 9, 'want': 0}",Canada,"['Vinyl', 'LP', 'Mono']",['Jazz'],709000,['London Records'],https://api.discogs.com/masters/709000,['Easy Listening'],https://api-img.discogs.com/WcRv2ZCrJXMjikPmitNhEpjM7yg=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5885462-1405406711-8542.jpeg.jpg,Gracie Fields - Our Gracie Favorite Songs By Gracie Fields,master,/Gracie-Fields-Our-Gracie-Favorite-Songs-By-Gracie-Fields/master/709000,
14,[],11759-3313-2,"{'have': 1, 'want': 2}",Unknown,['CD'],['Jazz'],1487586,['KSJazz'],https://api.discogs.com/releases/1487586,['Free Improvisation'],https://api-img.discogs.com/fmpnJfCiKl1w9INIXOk_M80xSNc=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1487586-1223390504.jpeg.jpg,"Julian F. Thayer, Charlie Mariano, Klaus Suonsaari - The Door Is Open",release,/Julian-F-Thayer-Charlie-Mariano-Klaus-Suonsaari-The-Door-Is-Open/release/1487586,2008
